place_id,6.9.2020,formatted_address,name
ChIJGSLwryFawokRP0c268Oa2Cg,OPERATIONAL,"26 Federal Plaza, New York, NY 10278, USA",Bright Horizons
ChIJ_ciuHAJZwokROraLaqzbJt0,OPERATIONAL,"200 Park Ave # 9NE, New York, NY 10166, USA",Bright Horizons
ChIJ-UDLaMVRwokRJ0gIY5sBifM,OPERATIONAL,"150 Hudson St Suite 101, Jersey City, NJ 07311, USA",Bright Horizons at Harborside - BACK UP CARE
ChIJtVciihRawokRx1aSzKmoaT8,OPERATIONAL,"125 Broad St, New York, NY 10004, USA",Bright Horizons
ChIJlw0Ro86_woARlX3H7s8DGMU,OPERATIONAL,"115 N Hollywood Way, Burbank, CA 91505, USA",Bright Horizons
ChIJRcEwgLPHwoAR3TYc3xQYLWs,OPERATIONAL,"550 S Hope St, Los Angeles, CA 90071, USA",Bright Horizons
ChIJfUVq5AW7woAROICb7SPddfw,OPERATIONAL,"2028 Westwood Blvd, Los Angeles, CA 90025, USA","The Academy, A Bright Horizons Preschool"
ChIJ7aVxnOTHwoARxKIntFtakKo,OPERATIONAL,"Los Angeles, CA 90007, USA",University of Southern California
ChIJwU6Z3z6_QIYRY6nQQww3nwA,OPERATIONAL,"1505 Louisiana St, Houston, TX 77002, USA",Bright Horizons Learning Center
ChIJFRxEbDu_QIYRb9hjxW68ZlY,OPERATIONAL,"1001 McKinney St #170, Houston, TX 77002, USA",Bright Horizons Downtown
ChIJjym8gn_cQIYRkRGCFkvdk8M,CLOSED_TEMPORARILY,"225 N Dairy Ashford Rd, Houston, TX 77079, USA",Woodcreek Child Development Center
ChIJCQ-yrBPAQIYR9RRnwB1LSzc,OPERATIONAL,"2100 S Braeswood Blvd, Houston, TX 77030, USA",Houston Methodist Child Care Center
ChIJb7_UUHbAQIYRjoNOM4VQYbs,OPERATIONAL,"1 Baylor Plaza, Houston, TX 77030, USA",Baylor College of Medicine
ChIJJYX_ReYIK4cR-Y7cnoPc47c,OPERATIONAL,"910 S Terrace Rd, Tempe, AZ 85281, USA",Campus Children's Center
ChIJp3Xy-9W2xokRtiv9qovvIdY,OPERATIONAL,"8012 Hammond Rd, Cheltenham, PA 19012, USA",Bright Horizons
ChIJUbDzVB3JxokRKWsX0gbtdPQ,OPERATIONAL,"1 Campbell Pl, Camden, NJ 08103, USA",Bright Horizons
ChIJkZUak_eixokRxxzvCaqpQus,OPERATIONAL,"1631 S Broad St, Lansdale, PA 19446, USA",Bright Horizons
ChIJfXmS5qijxokRFd3ZV9u5O2M,OPERATIONAL,"500 Dickerson Rd, North Wales, PA 19454, USA",Merck Child Learning Center
ChIJv6ovFDZnXIYRk2Ghoa3lNYw,OPERATIONAL,"4800 USAA Blvd, San Antonio, TX 78240, USA",Bright Horizons
ChIJ9bJQgJFmXIYRDf56OAmT4WU,OPERATIONAL,"1 Valero Way, San Antonio, TX 78249, USA",Valero Family Center
ChIJq00pSzBBXIYRxFg6mwo1rx8,CLOSED_TEMPORARILY,"100 Citibank Dr bldg 4, San Antonio, TX 78245, USA",Child Care Center at Citibank Service Center
ChIJaXRVbjZnXIYRTUIuaxrwgsw,OPERATIONAL,"4800 USAA Blvd, San Antonio, TX 78240, USA",USAA Child Development Center - USAA Employees Only
ChIJue_9zKBgXIYRQvGuWg2hLS8,OPERATIONAL,"2727 Northwest Loop 410, San Antonio, TX 78230, USA",New Horizons Computer Learning Centers
