Names,Addresses,Websites,6.4.2020,6.5.2020,6.8.2020,6.9.2020,6.10.2020,6.12.2020,6.13.2020,6.15.2020,6.16.2020,6.17.2020,6.18.2020,6.19.2020,6.23.2020,6.24.2020,6.25.2020,6.26.2020,6.29.2020,6.30.2020,7.1.2020,7.2.2020,7.6.2020,7.7.2020,7.8.2020,7.13.2020,7.15.2020,7.17.2020,7.20.2020,7.22.2020,7.24.2020,7.27.2020,8.5.2020,8.7.2020
Albright Early Learning Center,"3040 Kutztown Road,Reading, PA 19605",http://child-care-preschool.brighthorizons.com/PA/reading/albright,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Alcazar Child Development Center at USC,"2215 E. Alcazar Street,Los Angeles, CA 90033",https://www.brighthorizons.com/uscalcazar,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Augusta Health Childcare Center ,"127 Medical Center Circle,Fishersville, VA 22939",https://www.brighthorizons.com/augustahealth,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Ave Maria Child Development Center managed by Bright Horizons,"6161 S. Yale,Tulsa, OK 74136",https://www.brighthorizons.com/avemaria,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Azalea Child Care Center,"1050 Southwest  Madison Ave,Corvallis, OR 97333",https://www.brighthorizons.com/azalea,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Baptist Child Development Center Managed by Bright Horizons,"1313 N. President Street,Jackson, MS 39202",https://www.brighthorizons.com/baptisthealth,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Baylor All Saints Child Care and Preschool,"1709 N Enderly Place,Fort Worth, TX 76104",https://www.brighthorizons.com/baylor,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
BeKare Child Development Center,"2561 Acton Road,Birmingham, AL 35243",https://www.brighthorizons.com/bekare,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Booz Allen Hamilton Family Center,"8283 Greensboro Dr.,McLean, VA 22102",https://www.brighthorizons.com/bah,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Bright Horizons @ Building Blocks,"520 15th Street SW,Auburn, WA 98001",https://www.brighthorizons.com/auburn,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,
Bright Horizons @PSECU,"1500 Elmerton Avenue,Harrisburg, PA 17110",http://child-care-preschool.brighthorizons.com/PA/harrisburg/psecu/,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons At Centennial Mall,"100 Centennial Mall North, Suite 140,Lincoln, NE 68508",https://www.brighthorizons.com/centennialmall,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,,
Bright Horizons At Medical City Dallas,"7701 Forest Lane,Dallas, TX 75230",https://www.brighthorizons.com/medicalcity,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons At North Oaks,"15591 Emergency Services Drive, Building 1,Hammond, LA 70403",https://www.brighthorizons.com/northoaks,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Child Development Center on the Golden Mile,"774 Pine Valley Drive,Pittsburgh, PA 15239",https://www.brighthorizons.com/goldenmile,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Children's Center at NOAA,"1315 East West Highway,Silver Spring, MD 20910",https://www.brighthorizons.com/noaa,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Children's Center at The Forum,"8516 Old Lead Mine Road,Raleigh, NC 27615",https://www.brighthorizons.com/forum,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Children's Center at The Watergarden,"1620 26th St #1020 North,Santa Monica, CA 90404",https://www.brighthorizons.com/watergarden,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Bright Horizons Clubhouse at West Cary,"2500 Highstone Road,Cary, NC 27519",https://www.brighthorizons.com/clubhouse,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
